State,County,PovertyRate,MedianHouseholdIncome
FL,Pinellas County,11.4,"56,708"
FL,Polk County,14,"51,817"
FL,Putnam County,22.4,"41,986"
FL,St. Johns County,6.4,"90,839"
FL,St. Lucie County,10.5,"57,292"
FL,Santa Rosa County,9.8,"66,139"
FL,Sarasota County,7.8,"66,258"
FL,Seminole County,9.3,"69,954"
FL,Sumter County,8.9,"63,464"
FL,Suwannee County,17.1,"49,453"
FL,Taylor County,19.9,"42,987"
FL,Union County,19.9,"50,893"
FL,Volusia County,13.1,"53,554"
FL,Wakulla County,12,"58,640"
FL,Walton County,10.8,"62,600"
FL,Washington County,20.1,"42,518"
GA,Georgia,13.5,"61,950"
GA,Appling County,20.9,"43,821"
GA,Atkinson County,23.2,"38,581"
GA,Bacon County,19.2,"41,807"
GA,Baker County,24.8,"39,515"
GA,Baldwin County,22.9,"44,429"
GA,Banks County,12.8,"53,481"
GA,Barrow County,9.7,"68,924"
GA,Bartow County,12.5,"60,254"
GA,Ben Hill County,22.8,"35,931"
GA,Berrien County,20.1,"42,058"
GA,Bibb County,23.2,"43,066"
GA,Bleckley County,18.5,"48,115"
GA,Brantley County,16.1,"44,680"
GA,Brooks County,21.9,"39,554"
GA,Bryan County,7.8,"79,296"
GA,Bulloch County,21.9,"48,788"
GA,Burke County,23.6,"42,632"
GA,Butts County,14.7,"47,410"
GA,Calhoun County,35.9,"34,960"
GA,Camden County,13.8,"58,552"
GA,Candler County,23.1,"41,665"
GA,Carroll County,14.9,"59,193"
GA,Catoosa County,10,"60,753"
GA,Charlton County,25.9,"42,891"
GA,Chatham County,14.8,"57,122"
GA,Chattahoochee County,18.5,"46,106"
GA,Chattooga County,17.4,"41,561"
GA,Cherokee County,6.5,"88,635"
GA,Clarke County,25.7,"41,036"
GA,Clay County,28.8,"24,732"
GA,Clayton County,16,"50,737"
GA,Clinch County,22,"42,928"
GA,Cobb County,8.3,"79,622"
GA,Coffee County,20.2,"41,675"
GA,Colquitt County,21.9,"41,899"
GA,Columbia County,5.6,"88,285"
GA,Cook County,21.4,"40,670"
GA,Coweta County,9,"79,232"
GA,Crawford County,15.3,"50,411"
GA,Crisp County,26.7,"40,482"
GA,Dade County,13.5,"45,986"
GA,Dawson County,8.8,"69,155"
GA,Decatur County,23.4,"40,473"
GA,DeKalb County,12.9,"63,606"
GA,Dodge County,20.6,"41,118"
GA,Dooly County,28.2,"37,109"
GA,Dougherty County,27.6,"36,894"
GA,Douglas County,10.9,"62,915"
GA,Early County,27.3,"40,011"
GA,Echols County,21.6,"40,408"
GA,Effingham County,9.1,"71,628"
GA,Elbert County,20.6,"40,962"
GA,Emanuel County,20.9,"38,529"
GA,Evans County,24.1,"41,425"
GA,Fannin County,12.1,"47,980"
GA,Fayette County,5.4,"94,563"
GA,Floyd County,16.4,"50,520"
GA,Forsyth County,4.5,"113,332"
GA,Franklin County,17.3,"47,691"
GA,Fulton County,13.8,"79,235"
GA,Gilmer County,14.6,"57,007"
GA,Glascock County,16.9,"49,350"
GA,Glynn County,15.4,"58,017"
GA,Gordon County,12.3,"53,373"
GA,Grady County,21.7,"42,603"
GA,Greene County,15,"60,973"
GA,Gwinnett County,9.2,"72,225"
GA,Habersham County,15.2,"51,296"
GA,Hall County,13.5,"66,698"
GA,Hancock County,31.2,"31,715"
GA,Haralson County,14.4,"49,020"
GA,Harris County,6.5,"74,052"
GA,Hart County,14.6,"50,647"
GA,Heard County,16.7,"48,984"
GA,Henry County,8.1,"72,927"
GA,Houston County,11,"65,641"
GA,Irwin County,20.5,"42,317"
GA,Jackson County,10.3,"66,645"
GA,Jasper County,12.4,"59,207"
GA,Jeff Davis County,21.2,"40,603"
GA,Jefferson County,25.1,"35,379"
GA,Jenkins County,29,"32,808"
GA,Johnson County,24.2,"37,771"
GA,Jones County,12.8,"56,819"
GA,Lamar County,14.8,"57,402"
GA,Lanier County,18.5,"42,667"
GA,Laurens County,23.9,"42,018"
GA,Lee County,9.3,"72,425"
GA,Liberty County,14.5,"51,410"
GA,Lincoln County,17.3,"45,299"
GA,Long County,14.2,"52,051"
GA,Lowndes County,20.4,"46,450"
GA,Lumpkin County,14.5,"57,078"
GA,McDuffie County,18,"44,473"
GA,McIntosh County,18.7,"46,682"
GA,Macon County,29.4,"34,634"
GA,Madison County,15.6,"52,326"
GA,Marion County,21.1,"41,190"
GA,Meriwether County,22.2,"43,571"
GA,Miller County,21.3,"41,769"
GA,Mitchell County,30.7,"37,383"
GA,Monroe County,10.6,"70,488"
GA,Montgomery County,19.4,"43,657"
GA,Morgan County,11.1,"67,089"
GA,Murray County,14.5,"50,061"
GA,Muscogee County,18.4,"47,035"
GA,Newton County,11.2,"58,222"
GA,Oconee County,5.6,"100,878"
GA,Oglethorpe County,12.8,"54,346"
GA,Paulding County,6.8,"76,580"
GA,Peach County,19.8,"49,815"
GA,Pickens County,10.3,"66,183"
GA,Pierce County,16.4,"46,701"
GA,Pike County,8.7,"74,905"
GA,Polk County,16.2,"47,896"
GA,Pulaski County,20.7,"42,274"
GA,Putnam County,15.1,"62,282"
GA,Quitman County,22.8,"35,522"
GA,Rabun County,13,"46,639"
GA,Randolph County,25.3,"33,505"
GA,Richmond County,21.7,"44,810"
GA,Rockdale County,12.1,"60,281"
GA,Schley County,15.9,"51,129"
GA,Screven County,24.1,"42,331"
GA,Seminole County,22.6,"38,618"
GA,Spalding County,17.7,"49,237"
GA,Stephens County,15,"45,416"
GA,Stewart County,34.7,"34,566"
GA,Sumter County,26.7,"40,250"
GA,Talbot County,19.6,"41,045"
GA,Taliaferro County,22.5,"37,046"
GA,Tattnall County,26.5,"41,457"
GA,Taylor County,22.9,"28,234"
GA,Telfair County,27.7,"36,264"
GA,Terrell County,28.2,"37,122"
GA,Thomas County,18,"47,978"
GA,Tift County,21.5,"47,764"
GA,Toombs County,19.2,"41,442"
GA,Towns County,12.7,"49,023"
GA,Treutlen County,31.6,"37,478"
GA,Troup County,19.2,"47,296"
GA,Turner County,28,"35,400"
GA,Twiggs County,19,"44,079"
GA,Union County,11.6,"57,049"
GA,Upson County,19.1,"40,926"
GA,Walker County,14.7,"47,548"
GA,Walton County,10.8,"67,007"
GA,Ware County,26.3,"37,642"
GA,Warren County,26.5,"37,313"
