State,County_Name,socio_index,built_index,air_index,land_index,water_index,environmental_quality_index
KS,Shawnee County,-0.984647512,-0.442776442,-0.36620754,0.562570453,-1.384163022,-0.429522067
KS,Sheridan County,0.556721926,-1.332319617,0.595962644,1.094367266,-1.388183355,-0.419882894
KS,Sherman County,0.544195771,-2.243289948,-0.91609478,0.759386778,-1.385992408,-1.848175049
KS,Smith County,0.797606468,-1.765767574,-0.941824257,0.773425639,-1.390164495,-1.639404178
KS,Stafford County,0.797921896,-2.126353502,-0.936092377,1.077711344,-1.394463539,-1.749872565
KS,Stanton County,0.861288846,-1.098360777,-1.109894633,0.928787053,-1.390583515,-1.34861064
KS,Stevens County,0.749421,0.02766527,-1.629892707,0.974379838,-1.392446518,-1.019957304
KS,Sumner County,0.216066808,-0.51014787,-1.119772911,0.618065715,-1.391505837,-1.037858367
KS,Thomas County,-0.066657126,-2.153445005,-0.046036519,0.895368278,-1.383543491,-1.190216899
KS,Trego County,0.308994204,-1.753936172,-0.981954575,0.507139385,-1.389412284,-1.660752416
KS,Wabaunsee County,0.23019366,-0.0318195,-1.328853011,0.069434628,-1.385273099,-1.045174241
KS,Wallace County,0.95056504,0.013615947,-0.328924626,0.423609346,-1.381302834,-0.454375684
KS,Washington County,0.49475944,-1.458490849,-1.547939301,0.813399196,-1.390605927,-1.770909786
KS,Wichita County,0.862145901,-1.362605095,-0.88968724,1.286874771,-1.381191611,-1.269528985
KS,Wilson County,0.860249162,-1.226415396,-1.427419066,0.442451686,-1.394160986,-1.723497629
KS,Woodson County,0.945418298,-1.356922507,0.171782389,0.083885692,-1.390711427,-0.986787677
KS,Wyandotte County,0.119993933,0.006610862,-0.199062154,0.286517799,-1.38749063,-0.312241286
KY,Adair County,1.083316565,0.465043336,1.651219726,-0.036406208,1.205719829,1.261592865
KY,Allen County,1.02282095,1.485431194,-0.194293737,0.188361391,1.074814081,0.795810163
KY,Anderson County,-0.039555572,0.644017518,0.264990389,-0.134416491,0.325351983,0.524430871
KY,Ballard County,0.846042335,0.705545604,0.331025511,0.943683922,1.22950232,0.927718997
KY,Barren County,0.320468575,-0.00263545,0.38437292,0.439407617,-1.397406459,0.026029361
KY,Bath County,0.922522664,0.821823061,0.440261513,0.243267924,-1.399647355,0.365931511
KY,Bell County,1.288168311,0.223091304,0.126471311,-1.343481421,0.91896981,-0.152665898
KY,Boone County,-1.195318341,0.776591718,-0.240382791,0.279453814,1.214274406,0.732931674
KY,Bourbon County,0.029061902,-0.36619091,1.645304799,0.207348675,1.064693093,0.991019487
KY,Boyd County,0.053722199,-0.729764044,0.499268532,-0.413500339,1.090245366,-0.012740283
KY,Boyle County,0.110082649,-0.598048985,1.742417812,0.58392638,0.435168356,0.891439676
KY,Bracken County,1.020963788,1.062010407,0.356420726,0.020013576,-0.407856256,0.561802328
