State,Area name,"Percent of adults with less than a high school diploma, 2015-19","Percent of adults with a high school diploma only, 2015-19","Percent of adults completing some college or associate's degree, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19"
GA,Morgan County,12.3,36.0,30.9,20.7
GA,Murray County,29.3,37.4,23.2,10.1
GA,Muscogee County,12.0,27.4,34.9,25.8
GA,Newton County,13.4,33.8,33.1,19.8
GA,Oconee County,5.5,19.3,22.9,52.3
GA,Oglethorpe County,20.3,38.9,23.8,17.1
GA,Paulding County,10.6,32.9,33.8,22.6
GA,Peach County,17.0,29.8,32.6,20.5
GA,Pickens County,14.7,31.5,30.7,23.1
GA,Pierce County,16.6,42.8,28.1,12.6
GA,Pike County,11.8,41.8,29.3,17.1
GA,Polk County,21.2,37.9,27.2,13.7
GA,Pulaski County,18.9,36.8,31.1,13.2
GA,Putnam County,12.4,37.6,26.6,23.4
GA,Quitman County,35.3,35.4,22.2,7.1
GA,Rabun County,15.2,33.1,27.5,24.2
GA,Randolph County,25.5,35.8,28.5,10.3
GA,Richmond County,15.9,31.4,31.4,21.4
GA,Rockdale County,11.2,31.5,31.0,26.3
GA,Schley County,12.4,34.8,39.4,13.3
GA,Screven County,16.5,41.5,26.6,15.4
GA,Seminole County,14.0,38.3,31.5,16.2
GA,Spalding County,18.1,39.8,24.3,17.8
GA,Stephens County,17.9,38.6,22.4,21.0
GA,Stewart County,31.9,36.4,19.5,12.2
GA,Sumter County,18.6,34.7,28.5,18.3
GA,Talbot County,17.7,45.5,24.7,12.1
